dataset,train_size,seed,method,status,rmse,mean_crps,coverage_90,mean_width_90,coverage_95,mean_width_95,wall_sec,variant,setting,family,mode,kind,init,projection_init,kcov_lambda,cem_updates,local_noise_std_floor,local_noise_var_floor,refresh_every,refresh_noise_std_floor,refresh_noise_var_floor,refresh_damping,refresh_gate_l2,refresh_gate_max_norm,qr_control,qr_outer_cycles,N_train,N_test,n_test_eval,Q,observed_dim,latent_dim,Q_true,n_neighbors,m_inducing,qr_train_anchor_count,qr_train_anchor_strategy,qr_train_n_neighbors,w_var,w_cov_lengthscale,qr_steps,qr_beta_kl,qr_train_log_std,qr_pairwise_weight,qr_pairwise_margin,lowrank_rank,lowrank_basis,lowrank_qr_w_signal_var,standardize_x,standardize_y_for_head,expansion,noise_std,noise_var,init_inlier_rate,final_inlier_rate,label_change_rate,mean_n_inliers,min_n_inliers,median_n_inliers,max_n_inliers,n_total_neighbors,init_sec,meanw_cem_failed,meanw_cem_inlier_rate,train_sec,pred_sec,split_type,K_default,D,gate_norm_mean,mean_lengthscale,mean_signal_var,mean_noise_var,mean_kernel_vector_correction,fallback_count,history_json,qr_history_json,refresh_history_json,error
Wine Quality,500,0,original_meanw_jumpgp_cem,ok,0.7822915288511697,0.4653775691986084,0.71,1.5314556443202902,0.76,1.824841954084044,29.333632300025783,original_meanw_jumpgp_cem,Wine Quality,Wine Quality,anchor,original,cem,pls,0.0,0,,1e-05,0,,1e-05,1.0,0.001,8.0,learned,4,500,650,200,3,11,3,3,25,40,0,kmeans_yvar,25,0.02,,40,0.05,False,0.0,1.0,0,pca_residual,0.1,True,True,uci,nan,nan,0.7968000000000001,0.7968000000000001,0.0,19.92,4.0,23.0,25.0,25,27.48215950001031,0,0.7968000000000001,27.48215950001031,0.0,random_row,3,11,,,,,,,,,,
Wine Quality,500,0,self_cem2_nstd0.05_kcov0.1,ok,0.7391195421668076,0.4235815703868866,0.77,1.7454835308127175,0.835,2.0798719107555383,230.37434209999628,self_cem2_nstd0.05_kcov0.1,,,,,,,,,,,,,,,,,,,,,,3,,,,25,40,0,kmeans_yvar,25,,,,,,,,,,,,,,,,0.7968000000000001,0.8246,0.0434,20.615000000000002,4.0,23.0,24.0,25,24.986710499972105,0,0.7968000000000001,202.07334279990755,2.161762199946679,random_row,3,11,4.564582619437007,5.0163979461004935,0.2780201514571604,0.21443806617325054,0.20121597320232149,0,"[{""changed_frac"": 0.0358, ""inlier_frac"": 0.8166, ""mean_lengthscale"": 4.185511827616256, ""mean_noise_var"": 0.2359044668909614, ""mean_signal_var"": 0.26753171394719283, ""outer"": 1.0}, {""changed_frac"": 0.009600000000000001, ""inlier_frac"": 0.8246, ""mean_lengthscale"": 4.4700953441135916, ""mean_noise_var"": 0.21881996209363372, ""mean_signal_var"": 0.26626105926035765, ""outer"": 2.0}]",[],[],
Wine Quality,500,0,self_cem2_nstd0.1_kcov0.1,ok,0.7377739988929237,0.4221207797527313,0.775,1.7529064224722648,0.835,2.0887168317111007,194.77922969998326,self_cem2_nstd0.1_kcov0.1,,,,,,,,,,,,,,,,,,,,,,3,,,,25,40,0,kmeans_yvar,25,,,,,,,,,,,,,,,,0.7968000000000001,0.8238000000000001,0.0426,20.595,4.0,23.0,24.0,25,27.160830299952067,0,0.7968000000000001,165.27971299993806,1.0533725999994203,random_row,3,11,4.571872070041649,5.0082524870672644,0.2750015015533969,0.2179277852804053,0.19368053181683195,0,"[{""changed_frac"": 0.0354, ""inlier_frac"": 0.8162, ""mean_lengthscale"": 4.1854716727965755, ""mean_noise_var"": 0.23879632772202364, ""mean_signal_var"": 0.26447530497603555, ""outer"": 1.0}, {""changed_frac"": 0.009600000000000001, ""inlier_frac"": 0.8238000000000001, ""mean_lengthscale"": 4.468761950632902, ""mean_noise_var"": 0.2218185618446975, ""mean_signal_var"": 0.2634085615129459, ""outer"": 2.0}]",[],[],
Wine Quality,500,0,self_cem2_nstd0.15_kcov0.1,ok,0.7371274123564365,0.42141643166542053,0.775,1.7608877482388545,0.835,2.098227167947152,209.73431759991217,self_cem2_nstd0.15_kcov0.1,,,,,,,,,,,,,,,,,,,,,,3,,,,25,40,0,kmeans_yvar,25,,,,,,,,,,,,,,,,0.7968000000000001,0.8244,0.044000000000000004,20.61,4.0,23.0,24.0,25,30.960676500108093,0,0.7968000000000001,176.23328259994742,1.1655991999432445,random_row,3,11,4.5731234396197475,5.007662312632318,0.2665341925030489,0.22487172539705697,0.1814706769912872,0,"[{""changed_frac"": 0.0358, ""inlier_frac"": 0.8166, ""mean_lengthscale"": 4.1926222799083295, ""mean_noise_var"": 0.24384653455256414, ""mean_signal_var"": 0.25979251592173386, ""outer"": 1.0}, {""changed_frac"": 0.0098, ""inlier_frac"": 0.8244, ""mean_lengthscale"": 4.448309031516116, ""mean_noise_var"": 0.2274247593579069, ""mean_signal_var"": 0.2586620944690508, ""outer"": 2.0}]",[],[],
Parkinsons Telemonitoring,500,0,original_meanw_jumpgp_cem,failed,,,,,,,3.0099996365606785e-05,original_meanw_jumpgp_cem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TypeError: _load_parkinsons_grouped_split() missing 1 required keyword-only argument: 'train_subject_frac'
Parkinsons Telemonitoring,500,0,self_cem2_nstd0.05_kcov0.1,failed,,,,,,,5.579995922744274e-05,self_cem2_nstd0.05_kcov0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TypeError: _load_parkinsons_grouped_split() missing 1 required keyword-only argument: 'train_subject_frac'
Parkinsons Telemonitoring,500,0,self_cem2_nstd0.1_kcov0.1,failed,,,,,,,4.099996294826269e-05,self_cem2_nstd0.1_kcov0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TypeError: _load_parkinsons_grouped_split() missing 1 required keyword-only argument: 'train_subject_frac'
Parkinsons Telemonitoring,500,0,self_cem2_nstd0.15_kcov0.1,failed,,,,,,,3.3400021493434906e-05,self_cem2_nstd0.15_kcov0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TypeError: _load_parkinsons_grouped_split() missing 1 required keyword-only argument: 'train_subject_frac'
Appliances Energy Prediction,500,0,original_meanw_jumpgp_cem,ok,110.70802467390251,45.835243225097656,0.68,85.03159868656057,0.745,101.3213992070548,55.997038200031966,original_meanw_jumpgp_cem,Appliances Energy Prediction,Appliances Energy Prediction,anchor,original,cem,pls,0.0,0,,1e-05,0,,1e-05,1.0,0.001,8.0,learned,4,500,593,200,5,27,5,5,35,40,0,kmeans_yvar,35,0.02,,40,0.05,False,0.0,1.0,0,pca_residual,0.1,True,True,uci,nan,nan,0.7745714285714286,0.7745714285714286,0.0,27.11,1.0,29.0,35.0,35,53.350656699971296,0,0.7745714285714286,53.350656699971296,0.0,random_row,5,27,,,,,,,,,,
Appliances Energy Prediction,500,0,self_cem2_nstd0.05_kcov0.1,ok,104.8456091053634,39.710628509521484,0.785,91.6311035633626,0.845,109.18519429640959,237.66868289990816,self_cem2_nstd0.05_kcov0.1,,,,,,,,,,,,,,,,,,,,,,5,,,,35,40,0,kmeans_yvar,35,,,,,,,,,,,,,,,,0.7745714285714286,0.8212857142857144,0.07357142857142858,28.745,2.0,31.0,34.0,35,50.99418189993594,0,0.7745714285714286,181.52361879998352,0.9447276000864804,random_row,5,27,3.323269264453753,7.683819741311301,0.16080185322516027,0.012485694649910487,0.08443163339024498,0,"[{""changed_frac"": 0.06485714285714286, ""inlier_frac"": 0.8194285714285715, ""mean_lengthscale"": 7.417200455835554, ""mean_noise_var"": 0.013091464373404069, ""mean_signal_var"": 0.26306290161760704, ""outer"": 1.0}, {""changed_frac"": 0.009571428571428573, ""inlier_frac"": 0.8212857142857144, ""mean_lengthscale"": 7.414922963099291, ""mean_noise_var"": 0.01256693524664966, ""mean_signal_var"": 0.18254543553592673, ""outer"": 2.0}]",[],[],
